"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Percent Population with At Least Bachelor's Degree","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","pbachp","TimeFrame","GeoVintage","Source","Location"
"City","Abanda","AL","0100100","=""0100100""","48.15","2019-2023","2020","Census","United States"
"City","Abbeville","AL","0100124","=""0100124""","18.29","2019-2023","2020","Census","United States"
"City","Adamsville","AL","0100460","=""0100460""","22.13","2019-2023","2020","Census","United States"
"City","Addison","AL","0100484","=""0100484""","8.04","2019-2023","2020","Census","United States"
"City","Akron","AL","0100676","=""0100676""","7.69","2019-2023","2020","Census","United States"
"City","Alabaster","AL","0100820","=""0100820""","40.80","2019-2023","2020","Census","United States"
"City","Albertville","AL","0100988","=""0100988""","20.87","2019-2023","2020","Census","United States"
"City","Alexander City","AL","0101132","=""0101132""","17.42","2019-2023","2020","Census","United States"
"City","Alexandria","AL","0101180","=""0101180""","24.93","2019-2023","2020","Census","United States"
"City","Aliceville","AL","0101228","=""0101228""","12.50","2019-2023","2020","Census","United States"
"City","Allgood","AL","0101396","=""0101396""","8.14","2019-2023","2020","Census","United States"
"City","Altoona","AL","0101660","=""0101660""","9.82","2019-2023","2020","Census","United States"
"City","Andalusia","AL","0101708","=""0101708""","25.22","2019-2023","2020","Census","United States"
"City","Anderson","AL","0101756","=""0101756""","30.13","2019-2023","2020","Census","United States"
"City","Anniston","AL","0101852","=""0101852""","21.48","2019-2023","2020","Census","United States"
"City","Arab","AL","0102116","=""0102116""","24.44","2019-2023","2020","Census","United States"
"City","Ardmore","AL","0102260","=""0102260""","15.80","2019-2023","2020","Census","United States"
"City","Argo","AL","0102320","=""0102320""","30.63","2019-2023","2020","Census","United States"
"City","Ariton","AL","0102428","=""0102428""","18.63","2019-2023","2020","Census","United States"
"City","Arley","AL","0102500","=""0102500""","8.94","2019-2023","2020","Census","United States"
"City","Ashford","AL","0102836","=""0102836""","15.46","2019-2023","2020","Census","United States"
"City","Ashland","AL","0102860","=""0102860""","18.82","2019-2023","2020","Census","United States"
"City","Ashville","AL","0102908","=""0102908""","9.32","2019-2023","2020","Census","United States"
"City","Athens","AL","0102956","=""0102956""","30.83","2019-2023","2020","Census","United States"
"City","Atmore","AL","0103004","=""0103004""","6.13","2019-2023","2020","Census","United States"
"City","Attalla","AL","0103028","=""0103028""","10.76","2019-2023","2020","Census","United States"
"City","Auburn","AL","0103076","=""0103076""","62.75","2019-2023","2020","Census","United States"
"City","Autaugaville","AL","0103220","=""0103220""","13.48","2019-2023","2020","Census","United States"
"City","Avon","AL","0103364","=""0103364""","24.47","2019-2023","2020","Census","United States"
"City","Axis","AL","0103508","=""0103508""","12.14","2019-2023","2020","Census","United States"
"City","Babbie","AL","0103556","=""0103556""","10.73","2019-2023","2020","Census","United States"
"City","Baileyton","AL","0103676","=""0103676""","14.63","2019-2023","2020","Census","United States"
"City","Bakerhill","AL","0103724","=""0103724""","14.38","2019-2023","2020","Census","United States"
"City","Ballplay","AL","0103820","=""0103820""","13.20","2019-2023","2020","Census","United States"
"City","Banks","AL","0103940","=""0103940""","23.12","2019-2023","2020","Census","United States"
"City","Bay Minette","AL","0104660","=""0104660""","12.70","2019-2023","2020","Census","United States"
"City","Bayou La Batre","AL","0104684","=""0104684""","11.52","2019-2023","2020","Census","United States"
"City","Bear Creek","AL","0104852","=""0104852""","9.46","2019-2023","2020","Census","United States"
"City","Beatrice","AL","0104900","=""0104900""","16.10","2019-2023","2020","Census","United States"
"City","Beaverton","AL","0104948","=""0104948""","10.76","2019-2023","2020","Census","United States"
"City","Belgreen","AL","0105140","=""0105140""","18.18","2019-2023","2020","Census","United States"
"City","Belk","AL","0105164","=""0105164""","2.27","2019-2023","2020","Census","United States"
"City","Bellamy","AL","0105188","=""0105188""","4.82","2019-2023","2020","Census","United States"
"City","Belle Fontaine","AL","0105212","=""0105212""","9.49","2019-2023","2020","Census","United States"
"City","Benton","AL","0105692","=""0105692""","14.71","2019-2023","2020","Census","United States"
"City","Berlin","AL","0105812","=""0105812""","9.80","2019-2023","2020","Census","United States"
"City","Berry","AL","0105932","=""0105932""","13.14","2019-2023","2020","Census","United States"
"City","Bessemer","AL","0105980","=""0105980""","14.42","2019-2023","2020","Census","United States"
"City","Billingsley","AL","0106460","=""0106460""","12.90","2019-2023","2020","Census","United States"
"City","Birmingham","AL","0107000","=""0107000""","30.67","2019-2023","2020","Census","United States"
"City","Black","AL","0107120","=""0107120""","4.17","2019-2023","2020","Census","United States"
"City","Blountsville","AL","0107456","=""0107456""","12.17","2019-2023","2020","Census","United States"
"City","Blue Ridge","AL","0107588","=""0107588""","60.44","2019-2023","2020","Census","United States"
"City","Blue Springs","AL","0107672","=""0107672""","14.94","2019-2023","2020","Census","United States"
"City","Boaz","AL","0107912","=""0107912""","16.69","2019-2023","2020","Census","United States"
"City","Boligee","AL","0108104","=""0108104""","7.32","2019-2023","2020","Census","United States"
"City","Bon Air","AL","0108248","=""0108248""","2.94","2019-2023","2020","Census","United States"
"City","Bon Secour","AL","0108272","=""0108272""","30.21","2019-2023","2020","Census","United States"
"City","Boykin","AL","0108680","=""0108680""","0.00","2019-2023","2020","Census","United States"
"City","Brantley","AL","0109016","=""0109016""","28.14","2019-2023","2020","Census","United States"
"City","Brantleyville","AL","0109064","=""0109064""","16.05","2019-2023","2020","Census","United States"
"City","Brent","AL","0109136","=""0109136""","11.79","2019-2023","2020","Census","United States"
"City","Brewton","AL","0109208","=""0109208""","25.41","2019-2023","2020","Census","United States"
"City","Bridgeport","AL","0109328","=""0109328""","6.70","2019-2023","2020","Census","United States"
"City","Brighton","AL","0109400","=""0109400""","8.79","2019-2023","2020","Census","United States"
"City","Brilliant","AL","0109424","=""0109424""","7.31","2019-2023","2020","Census","United States"
"City","Bristow Cove","AL","0109457","=""0109457""","0.00","2019-2023","2020","Census","United States"
"City","Brook Highland","AL","0109500","=""0109500""","56.38","2019-2023","2020","Census","United States"
"City","Brookside","AL","0109736","=""0109736""","11.01","2019-2023","2020","Census","United States"
"City","Brookwood","AL","0109808","=""0109808""","24.73","2019-2023","2020","Census","United States"
"City","Broomtown","AL","0109880","=""0109880""","15.31","2019-2023","2020","Census","United States"
"City","Brundidge","AL","0110240","=""0110240""","13.40","2019-2023","2020","Census","United States"
"City","Bucks","AL","0110456","=""0110456""","N/A","2019-2023","2020","Census","United States"
"City","Butler","AL","0111032","=""0111032""","21.93","2019-2023","2020","Census","United States"
"City","Calera","AL","0111416","=""0111416""","37.11","2019-2023","2020","Census","United States"
"City","Calvert","AL","0111488","=""0111488""","0.00","2019-2023","2020","Census","United States"
"City","Camden","AL","0111512","=""0111512""","23.35","2019-2023","2020","Census","United States"
"City","Camp Hill","AL","0111680","=""0111680""","11.14","2019-2023","2020","Census","United States"
"City","Carbon Hill","AL","0112016","=""0112016""","6.78","2019-2023","2020","Census","United States"
"City","Cardiff","AL","0112040","=""0112040""","5.71","2019-2023","2020","Census","United States"
"City","Carlisle-Rockledge","AL","0112070","=""0112070""","10.94","2019-2023","2020","Census","United States"
"City","Carlton","AL","0112112","=""0112112""","0.00","2019-2023","2020","Census","United States"
"City","Carolina","AL","0112160","=""0112160""","21.29","2019-2023","2020","Census","United States"
"City","Carrollton","AL","0112304","=""0112304""","15.40","2019-2023","2020","Census","United States"
