"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Median Household Income","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","mhhinc","TimeFrame","GeoVintage","Source","Location"
"City","Abanda","AL","0100100","=""0100100""","N/A","2019-2023","2020","Census","United States"
"City","Abbeville","AL","0100124","=""0100124""","32778","2019-2023","2020","Census","United States"
"City","Adamsville","AL","0100460","=""0100460""","60564","2019-2023","2020","Census","United States"
"City","Addison","AL","0100484","=""0100484""","54911","2019-2023","2020","Census","United States"
"City","Akron","AL","0100676","=""0100676""","43375","2019-2023","2020","Census","United States"
"City","Alabaster","AL","0100820","=""0100820""","90163","2019-2023","2020","Census","United States"
"City","Albertville","AL","0100988","=""0100988""","57103","2019-2023","2020","Census","United States"
"City","Alexander City","AL","0101132","=""0101132""","42367","2019-2023","2020","Census","United States"
"City","Alexandria","AL","0101180","=""0101180""","92232","2019-2023","2020","Census","United States"
"City","Aliceville","AL","0101228","=""0101228""","33125","2019-2023","2020","Census","United States"
"City","Allgood","AL","0101396","=""0101396""","73125","2019-2023","2020","Census","United States"
"City","Altoona","AL","0101660","=""0101660""","36694","2019-2023","2020","Census","United States"
"City","Andalusia","AL","0101708","=""0101708""","47500","2019-2023","2020","Census","United States"
"City","Anderson","AL","0101756","=""0101756""","86250","2019-2023","2020","Census","United States"
"City","Anniston","AL","0101852","=""0101852""","44806","2019-2023","2020","Census","United States"
"City","Arab","AL","0102116","=""0102116""","60985","2019-2023","2020","Census","United States"
"City","Ardmore","AL","0102260","=""0102260""","43542","2019-2023","2020","Census","United States"
"City","Argo","AL","0102320","=""0102320""","107818","2019-2023","2020","Census","United States"
"City","Ariton","AL","0102428","=""0102428""","34943","2019-2023","2020","Census","United States"
"City","Arley","AL","0102500","=""0102500""","48036","2019-2023","2020","Census","United States"
"City","Ashford","AL","0102836","=""0102836""","61087","2019-2023","2020","Census","United States"
"City","Ashland","AL","0102860","=""0102860""","41875","2019-2023","2020","Census","United States"
"City","Ashville","AL","0102908","=""0102908""","65169","2019-2023","2020","Census","United States"
"City","Athens","AL","0102956","=""0102956""","65000","2019-2023","2020","Census","United States"
"City","Atmore","AL","0103004","=""0103004""","33104","2019-2023","2020","Census","United States"
"City","Attalla","AL","0103028","=""0103028""","55429","2019-2023","2020","Census","United States"
"City","Auburn","AL","0103076","=""0103076""","56123","2019-2023","2020","Census","United States"
"City","Autaugaville","AL","0103220","=""0103220""","47652","2019-2023","2020","Census","United States"
"City","Avon","AL","0103364","=""0103364""","52500","2019-2023","2020","Census","United States"
"City","Axis","AL","0103508","=""0103508""","86111","2019-2023","2020","Census","United States"
"City","Babbie","AL","0103556","=""0103556""","58068","2019-2023","2020","Census","United States"
"City","Baileyton","AL","0103676","=""0103676""","61110","2019-2023","2020","Census","United States"
"City","Bakerhill","AL","0103724","=""0103724""","54327","2019-2023","2020","Census","United States"
"City","Ballplay","AL","0103820","=""0103820""","60825","2019-2023","2020","Census","United States"
"City","Banks","AL","0103940","=""0103940""","49773","2019-2023","2020","Census","United States"
"City","Bay Minette","AL","0104660","=""0104660""","39737","2019-2023","2020","Census","United States"
"City","Bayou La Batre","AL","0104684","=""0104684""","40667","2019-2023","2020","Census","United States"
"City","Bear Creek","AL","0104852","=""0104852""","36250","2019-2023","2020","Census","United States"
"City","Beatrice","AL","0104900","=""0104900""","40833","2019-2023","2020","Census","United States"
"City","Beaverton","AL","0104948","=""0104948""","56458","2019-2023","2020","Census","United States"
"City","Belgreen","AL","0105140","=""0105140""","36667","2019-2023","2020","Census","United States"
"City","Belk","AL","0105164","=""0105164""","46750","2019-2023","2020","Census","United States"
"City","Bellamy","AL","0105188","=""0105188""","50389","2019-2023","2020","Census","United States"
"City","Belle Fontaine","AL","0105212","=""0105212""","100144","2019-2023","2020","Census","United States"
"City","Benton","AL","0105692","=""0105692""","N/A","2019-2023","2020","Census","United States"
"City","Berlin","AL","0105812","=""0105812""","59423","2019-2023","2020","Census","United States"
"City","Berry","AL","0105932","=""0105932""","48819","2019-2023","2020","Census","United States"
"City","Bessemer","AL","0105980","=""0105980""","37844","2019-2023","2020","Census","United States"
"City","Billingsley","AL","0106460","=""0106460""","54375","2019-2023","2020","Census","United States"
"City","Birmingham","AL","0107000","=""0107000""","44376","2019-2023","2020","Census","United States"
"City","Black","AL","0107120","=""0107120""","58438","2019-2023","2020","Census","United States"
"City","Blountsville","AL","0107456","=""0107456""","46555","2019-2023","2020","Census","United States"
"City","Blue Ridge","AL","0107588","=""0107588""","124875","2019-2023","2020","Census","United States"
"City","Blue Springs","AL","0107672","=""0107672""","50625","2019-2023","2020","Census","United States"
"City","Boaz","AL","0107912","=""0107912""","49962","2019-2023","2020","Census","United States"
"City","Boligee","AL","0108104","=""0108104""","25076","2019-2023","2020","Census","United States"
"City","Bon Air","AL","0108248","=""0108248""","36607","2019-2023","2020","Census","United States"
"City","Bon Secour","AL","0108272","=""0108272""","60833","2019-2023","2020","Census","United States"
"City","Boykin","AL","0108680","=""0108680""","36908","2019-2023","2020","Census","United States"
"City","Brantley","AL","0109016","=""0109016""","35500","2019-2023","2020","Census","United States"
"City","Brantleyville","AL","0109064","=""0109064""","41000","2019-2023","2020","Census","United States"
"City","Brent","AL","0109136","=""0109136""","24041","2019-2023","2020","Census","United States"
"City","Brewton","AL","0109208","=""0109208""","48766","2019-2023","2020","Census","United States"
"City","Bridgeport","AL","0109328","=""0109328""","31723","2019-2023","2020","Census","United States"
"City","Brighton","AL","0109400","=""0109400""","36219","2019-2023","2020","Census","United States"
"City","Brilliant","AL","0109424","=""0109424""","47877","2019-2023","2020","Census","United States"
"City","Bristow Cove","AL","0109457","=""0109457""","N/A","2019-2023","2020","Census","United States"
"City","Brook Highland","AL","0109500","=""0109500""","87143","2019-2023","2020","Census","United States"
"City","Brookside","AL","0109736","=""0109736""","43750","2019-2023","2020","Census","United States"
"City","Brookwood","AL","0109808","=""0109808""","79297","2019-2023","2020","Census","United States"
"City","Broomtown","AL","0109880","=""0109880""","N/A","2019-2023","2020","Census","United States"
"City","Brundidge","AL","0110240","=""0110240""","37555","2019-2023","2020","Census","United States"
"City","Bucks","AL","0110456","=""0110456""","N/A","2019-2023","2020","Census","United States"
"City","Butler","AL","0111032","=""0111032""","47880","2019-2023","2020","Census","United States"
"City","Calera","AL","0111416","=""0111416""","82441","2019-2023","2020","Census","United States"
"City","Calvert","AL","0111488","=""0111488""","N/A","2019-2023","2020","Census","United States"
"City","Camden","AL","0111512","=""0111512""","38864","2019-2023","2020","Census","United States"
"City","Camp Hill","AL","0111680","=""0111680""","30000","2019-2023","2020","Census","United States"
"City","Carbon Hill","AL","0112016","=""0112016""","22283","2019-2023","2020","Census","United States"
"City","Cardiff","AL","0112040","=""0112040""","N/A","2019-2023","2020","Census","United States"
"City","Carlisle-Rockledge","AL","0112070","=""0112070""","59246","2019-2023","2020","Census","United States"
"City","Carlton","AL","0112112","=""0112112""","N/A","2019-2023","2020","Census","United States"
"City","Carolina","AL","0112160","=""0112160""","51250","2019-2023","2020","Census","United States"
"City","Carrollton","AL","0112304","=""0112304""","29957","2019-2023","2020","Census","United States"
"City","Castleberry","AL","0112496","=""0112496""","21111","2019-2023","2020","Census","United States"
"City","Catherine","AL","0112544","=""0112544""","N/A","2019-2023","2020","Census","United States"
"City","Cedar Bluff","AL","0112760","=""0112760""","48784","2019-2023","2020","Census","United States"
"City","Center Point","AL","0113264","=""0113264""","52401","2019-2023","2020","Census","United States"
"City","Centre","AL","0113648","=""0113648""","43912","2019-2023","2020","Census","United States"
"City","Centreville","AL","0113672","=""0113672""","41130","2019-2023","2020","Census","United States"
"City","Chatom","AL","0114008","=""0114008""","39444","2019-2023","2020","Census","United States"
"City","Chelsea","AL","0114104","=""0114104""","110056","2019-2023","2020","Census","United States"
