"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Avg. Travel Time to Work (in Minutes)","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","avtt","TimeFrame","GeoVintage","Source","Location"
"City","Abanda","AL","0100100","=""0100100""","N/A","2019-2023","2020","Census","United States"
"City","Abbeville","AL","0100124","=""0100124""","23","2019-2023","2020","Census","United States"
"City","Adamsville","AL","0100460","=""0100460""","N/A","2019-2023","2020","Census","United States"
"City","Addison","AL","0100484","=""0100484""","40","2019-2023","2020","Census","United States"
"City","Akron","AL","0100676","=""0100676""","N/A","2019-2023","2020","Census","United States"
"City","Alabaster","AL","0100820","=""0100820""","31","2019-2023","2020","Census","United States"
"City","Albertville","AL","0100988","=""0100988""","21","2019-2023","2020","Census","United States"
"City","Alexander City","AL","0101132","=""0101132""","20","2019-2023","2020","Census","United States"
"City","Alexandria","AL","0101180","=""0101180""","N/A","2019-2023","2020","Census","United States"
"City","Aliceville","AL","0101228","=""0101228""","N/A","2019-2023","2020","Census","United States"
"City","Allgood","AL","0101396","=""0101396""","40","2019-2023","2020","Census","United States"
"City","Altoona","AL","0101660","=""0101660""","30","2019-2023","2020","Census","United States"
"City","Andalusia","AL","0101708","=""0101708""","N/A","2019-2023","2020","Census","United States"
"City","Anderson","AL","0101756","=""0101756""","N/A","2019-2023","2020","Census","United States"
"City","Anniston","AL","0101852","=""0101852""","23","2019-2023","2020","Census","United States"
"City","Arab","AL","0102116","=""0102116""","30","2019-2023","2020","Census","United States"
"City","Ardmore","AL","0102260","=""0102260""","30","2019-2023","2020","Census","United States"
"City","Argo","AL","0102320","=""0102320""","34","2019-2023","2020","Census","United States"
"City","Ariton","AL","0102428","=""0102428""","N/A","2019-2023","2020","Census","United States"
"City","Arley","AL","0102500","=""0102500""","N/A","2019-2023","2020","Census","United States"
"City","Ashford","AL","0102836","=""0102836""","28","2019-2023","2020","Census","United States"
"City","Ashland","AL","0102860","=""0102860""","N/A","2019-2023","2020","Census","United States"
"City","Ashville","AL","0102908","=""0102908""","31","2019-2023","2020","Census","United States"
"City","Athens","AL","0102956","=""0102956""","25","2019-2023","2020","Census","United States"
"City","Atmore","AL","0103004","=""0103004""","23","2019-2023","2020","Census","United States"
"City","Attalla","AL","0103028","=""0103028""","23","2019-2023","2020","Census","United States"
"City","Auburn","AL","0103076","=""0103076""","19","2019-2023","2020","Census","United States"
"City","Autaugaville","AL","0103220","=""0103220""","N/A","2019-2023","2020","Census","United States"
"City","Avon","AL","0103364","=""0103364""","N/A","2019-2023","2020","Census","United States"
"City","Axis","AL","0103508","=""0103508""","N/A","2019-2023","2020","Census","United States"
"City","Babbie","AL","0103556","=""0103556""","N/A","2019-2023","2020","Census","United States"
"City","Baileyton","AL","0103676","=""0103676""","35","2019-2023","2020","Census","United States"
"City","Bakerhill","AL","0103724","=""0103724""","N/A","2019-2023","2020","Census","United States"
"City","Ballplay","AL","0103820","=""0103820""","N/A","2019-2023","2020","Census","United States"
"City","Banks","AL","0103940","=""0103940""","N/A","2019-2023","2020","Census","United States"
"City","Bay Minette","AL","0104660","=""0104660""","27","2019-2023","2020","Census","United States"
"City","Bayou La Batre","AL","0104684","=""0104684""","19","2019-2023","2020","Census","United States"
"City","Bear Creek","AL","0104852","=""0104852""","N/A","2019-2023","2020","Census","United States"
"City","Beatrice","AL","0104900","=""0104900""","N/A","2019-2023","2020","Census","United States"
"City","Beaverton","AL","0104948","=""0104948""","N/A","2019-2023","2020","Census","United States"
"City","Belgreen","AL","0105140","=""0105140""","N/A","2019-2023","2020","Census","United States"
"City","Belk","AL","0105164","=""0105164""","N/A","2019-2023","2020","Census","United States"
"City","Bellamy","AL","0105188","=""0105188""","N/A","2019-2023","2020","Census","United States"
"City","Belle Fontaine","AL","0105212","=""0105212""","N/A","2019-2023","2020","Census","United States"
"City","Benton","AL","0105692","=""0105692""","N/A","2019-2023","2020","Census","United States"
"City","Berlin","AL","0105812","=""0105812""","29","2019-2023","2020","Census","United States"
"City","Berry","AL","0105932","=""0105932""","N/A","2019-2023","2020","Census","United States"
"City","Bessemer","AL","0105980","=""0105980""","26","2019-2023","2020","Census","United States"
"City","Billingsley","AL","0106460","=""0106460""","N/A","2019-2023","2020","Census","United States"
"City","Birmingham","AL","0107000","=""0107000""","21","2019-2023","2020","Census","United States"
"City","Black","AL","0107120","=""0107120""","20","2019-2023","2020","Census","United States"
"City","Blountsville","AL","0107456","=""0107456""","32","2019-2023","2020","Census","United States"
"City","Blue Ridge","AL","0107588","=""0107588""","N/A","2019-2023","2020","Census","United States"
"City","Blue Springs","AL","0107672","=""0107672""","N/A","2019-2023","2020","Census","United States"
"City","Boaz","AL","0107912","=""0107912""","21","2019-2023","2020","Census","United States"
"City","Boligee","AL","0108104","=""0108104""","N/A","2019-2023","2020","Census","United States"
"City","Bon Air","AL","0108248","=""0108248""","N/A","2019-2023","2020","Census","United States"
"City","Bon Secour","AL","0108272","=""0108272""","N/A","2019-2023","2020","Census","United States"
"City","Boykin","AL","0108680","=""0108680""","N/A","2019-2023","2020","Census","United States"
"City","Brantley","AL","0109016","=""0109016""","N/A","2019-2023","2020","Census","United States"
"City","Brantleyville","AL","0109064","=""0109064""","N/A","2019-2023","2020","Census","United States"
"City","Brent","AL","0109136","=""0109136""","N/A","2019-2023","2020","Census","United States"
"City","Brewton","AL","0109208","=""0109208""","N/A","2019-2023","2020","Census","United States"
"City","Bridgeport","AL","0109328","=""0109328""","25","2019-2023","2020","Census","United States"
"City","Brighton","AL","0109400","=""0109400""","N/A","2019-2023","2020","Census","United States"
"City","Brilliant","AL","0109424","=""0109424""","N/A","2019-2023","2020","Census","United States"
"City","Bristow Cove","AL","0109457","=""0109457""","N/A","2019-2023","2020","Census","United States"
"City","Brook Highland","AL","0109500","=""0109500""","26","2019-2023","2020","Census","United States"
"City","Brookside","AL","0109736","=""0109736""","N/A","2019-2023","2020","Census","United States"
"City","Brookwood","AL","0109808","=""0109808""","27","2019-2023","2020","Census","United States"
"City","Broomtown","AL","0109880","=""0109880""","N/A","2019-2023","2020","Census","United States"
"City","Brundidge","AL","0110240","=""0110240""","29","2019-2023","2020","Census","United States"
"City","Bucks","AL","0110456","=""0110456""","N/A","2019-2023","2020","Census","United States"
"City","Butler","AL","0111032","=""0111032""","N/A","2019-2023","2020","Census","United States"
"City","Calera","AL","0111416","=""0111416""","34","2019-2023","2020","Census","United States"
"City","Calvert","AL","0111488","=""0111488""","N/A","2019-2023","2020","Census","United States"
"City","Camden","AL","0111512","=""0111512""","N/A","2019-2023","2020","Census","United States"
"City","Camp Hill","AL","0111680","=""0111680""","N/A","2019-2023","2020","Census","United States"
"City","Carbon Hill","AL","0112016","=""0112016""","33","2019-2023","2020","Census","United States"
"City","Cardiff","AL","0112040","=""0112040""","N/A","2019-2023","2020","Census","United States"
"City","Carlisle-Rockledge","AL","0112070","=""0112070""","N/A","2019-2023","2020","Census","United States"
"City","Carlton","AL","0112112","=""0112112""","N/A","2019-2023","2020","Census","United States"
"City","Carolina","AL","0112160","=""0112160""","N/A","2019-2023","2020","Census","United States"
